country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,infant_mortality_rate_risk_scaled,under_5_mortality_rate_risk_scaled,maternal_mortality_rate_risk_scaled,malaria_prevalence_risk_scaled,tb_prevalence_risk_scaled,undernourished_population_risk_scaled,health_risk_score,health_risk_level,government_health_expenditure_readiness_scaled,dpt_immunization_readiness_scaled,measles_immunization_readiness_scaled,nurses_midwives_density_readiness_scaled,physicians_density_readiness_scaled,readiness_score,readiness_level,priority_category,priority_rank
Lao PDR,2013,10.1,89.0,82.0,48.9,34.8,220.0,0.862,0.179,514.0,64.3,19.4,0.5593824228028503,0.6494736842105262,0.4661016949152542,0.042183001627237454,0.11313179026924894,0.4126074498567335,37.38133406136417,High,0.006077694235588972,0.78,0.71875,0.01755091103965703,0.021996615905245334,30.88750442360983,Low,Emergency Priority,1
Lao PDR,2014,18.6,89.0,87.0,48.9,34.8,220.0,0.862,0.179,514.0,64.3,18.9,0.5593824228028503,0.6494736842105262,0.4661016949152542,0.042183001627237454,0.11313179026924894,0.3982808022922636,37.14255660195635,High,0.011403508771929825,0.78,0.796875,0.01755091103965703,0.021996615905245334,32.55652071433664,Low,Emergency Priority,1
Malaysia,2004,613.2,94.2,71.2,6.5,24.1,28.0,2.678,0.923,60.0,8.5,5.0,0.05581947743467933,0.06210526315789473,0.059322033898305086,0.02878958568031043,0.005904581955597543,0.0,3.532349035446452,Low,0.38395989974937345,0.8840000000000001,0.55,0.2608520900321543,0.4416243654822335,50.40872710527522,Medium,Stable but Needs Support,8
Malaysia,2005,335.3,95.3,68.30000000000001,6.6,21.0,28.0,2.678,0.923,60.4,8.5,5.0,0.05700712589073634,0.06210526315789473,0.059322033898305086,0.024909250219051195,0.005999055266887104,0.0,3.489045473881241,Low,0.20983709273182957,0.9059999999999999,0.5046875000000002,0.2608520900321543,0.4416243654822335,46.46002096492435,Medium,Stable but Needs Support,8
Malaysia,2006,372.4,96.4,65.4,6.1,19.7,27.5,2.678,0.923,62.1,7.9,5.0,0.051068883610451296,0.05578947368421053,0.05826271186440678,0.02328201276755539,0.006400566839867738,0.0,3.2467274794415286,Low,0.23308270676691728,0.9280000000000002,0.4593750000000001,0.2608520900321543,0.4416243654822335,46.45868324562611,Medium,Stable but Needs Support,8
Malaysia,2007,448.6,96.0,87.5,6.3,20.1,29.0,2.678,0.923,62.2,7.9,5.0,0.05344418052256532,0.05578947368421053,0.0614406779661017,0.023782701214169484,0.006424185167690128,0.0,3.348020309245619,Low,0.2808270676691729,0.9199999999999999,0.8046875,0.2608520900321543,0.4416243654822335,54.15982046367122,Medium,Stable but Needs Support,8
Malaysia,2008,520.1,96.0,94.3,6.2,26.8,27.3,2.678,0.923,63.5,8.0,5.0,0.05225653206650831,0.05684210526315789,0.05783898305084746,0.03216923269495557,0.006731223429381199,0.0,3.4306346084141737,Low,0.3256265664160401,0.9199999999999999,0.9109375,0.2608520900321543,0.4416243654822335,57.18081043860857,Medium,Stable but Needs Support,8
Malaysia,2009,782.8,95.0,96.9,6.9,25.950000000000003,27.0,2.943,1.048,64.9,8.5,5.0,0.06057007125890736,0.06210526315789473,0.057203389830508475,0.03110526974590062,0.007061880018894663,0.0,3.634097900201764,Low,0.49022556390977434,0.9000000000000001,0.9515625000000001,0.29635584137191856,0.5121263395375071,63.00540489638401,High,Stable / Resilient,9
Malaysia,2010,1199.9,94.0,96.1,6.8,25.1,26.1,3.208,1.173,68.4,8.5,5.0,0.059382422802850346,0.06210526315789473,0.05529661016949153,0.030041306796845666,0.00788852149267832,0.0,3.578568740329343,Low,0.7515664160401002,0.8800000000000001,0.9390624999999999,0.33185959271168275,0.5826283135927806,69.70233644689128,High,Stable / Resilient,9
Malaysia,2011,717.3,99.0,95.2,6.6,23.5,26.2,3.397,1.281,101.0,8.75,5.0,0.05700712589073634,0.06473684210526315,0.055508474576271186,0.028038553010389287,0.015588096362777516,0.0,3.6813181990906254,Low,0.4491854636591478,0.98,0.925,0.3571811361200428,0.6435420191765369,67.09817237911454,High,Stable / Resilient,9
